,,,,,Ko,R,R,R,R,R,R,F,F,F,F,F,F,F,,
,,,,,Qo,R,R,R,R,R,F,F,F,F,F,F,F,F,,
,,,,,Jo,R,R,R,R,R,F,F,F,F,F,F,F,F,,
,,,,,To,R,F,F,F,R,F,F,F,F,F,F,F,F,,
,,,,,9o,F,F,F,F,F,C,C,F,F,F,F,F,F,,
,,,,,8o,F,F,F,F,F,F,C,C,F,F,F,F,F,,
,,,,,7o,F,F,F,F,F,F,F,C,C,F,F,F,F,,
,,,,,6o,F,F,F,F,F,F,F,F,F,F,F,F,F,,
,,,,,5o,F,F,F,F,F,F,F,F,F,F,F,F,F,,
,,,,,4o,F,F,F,F,F,F,F,F,F,F,F,F,F,,
,,,,,3o,F,F,F,F,F,F,F,F,F,F,F,F,F,,
,,,,,2o,F,F,F,F,F,F,F,F,F,F,F,F,F,,
Players,Stacks,Scenario,Hero,Villain,,As,Ks,Qs,Js,Ts,9s,8s,7s,6s,5s,4s,3s,2s,,
6,100,vs Raise,SB,LJ,Ao,R,R,R,R,R,R,F,F,F,R,R,F,F,,
,,,,,Ko,R,R,R,R,R,F,F,F,F,F,F,F,F,,
,,,,,Qo,R,F,R,R,F,F,F,F,F,F,F,F,F,,
,,,,,Jo,F,F,F,R,F,F,F,F,F,F,F,F,F,,
,,,,,To,F,F,F,F,R,F,F,F,F,F,F,F,F,,
,,,,,9o,F,F,F,F,F,F,F,F,F,F,F,F,F,,
,,,,,8o,F,F,F,F,F,F,F,F,F,F,F,F,F,,
,,,,,7o,F,F,F,F,F,F,F,F,F,F,F,F,F,,
,,,,,6o,F,F,F,F,F,F,F,F,F,F,F,F,F,,
,,,,,5o,F,F,F,F,F,F,F,F,F,F,F,F,F,,
,,,,,4o,F,F,F,F,F,F,F,F,F,F,F,F,F,,
,,,,,3o,F,F,F,F,F,F,F,F,F,F,F,F,F,,
,,,,,2o,F,F,F,F,F,F,F,F,F,F,F,F,F,,
Players,Stacks,Scenario,Hero,Villain,,As,Ks,Qs,Js,Ts,9s,8s,7s,6s,5s,4s,3s,2s,,
6,100,vs Raise,SB,HJ,Ao,R,R,R,R,R,R,F,F,F,R,R,F,F,,
,,,,,Ko,R,R,R,R,R,F,F,F,F,F,F,F,F,,
,,,,,Qo,R,R,R,R,F,F,F,F,F,F,F,F,F,,
,,,,,Jo,R,F,F,R,F,F,F,F,F,F,F,F,F,,
,,,,,To,F,F,F,F,R,F,F,F,F,F,F,F,F,,
,,,,,9o,F,F,F,F,F,F,F,F,F,F,F,F,F,,
,,,,,8o,F,F,F,F,F,F,F,F,F,F,F,F,F,,
,,,,,7o,F,F,F,F,F,F,F,F,F,F,F,F,F,,
,,,,,6o,F,F,F,F,F,F,F,F,F,F,F,F,F,,
,,,,,5o,F,F,F,F,F,F,F,F,F,F,F,F,F,,
,,,,,4o,F,F,F,F,F,F,F,F,F,F,F,F,F,,
,,,,,3o,F,F,F,F,F,F,F,F,F,F,F,F,F,,
,,,,,2o,F,F,F,F,F,F,F,F,F,F,F,F,F,,
Players,Stacks,Scenario,Hero,Villain,,As,Ks,Qs,Js,Ts,9s,8s,7s,6s,5s,4s,3s,2s,,
6,100,vs Raise,SB,CO,Ao,R,R,R,R,R,R,F,F,F,R,R,R,F,,
,,,,,Ko,R,R,R,R,R,F,F,F,F,F,F,F,F,,
,,,,,Qo,R,R,R,R,R,F,F,F,F,F,F,F,F,,
,,,,,Jo,R,R,F,R,R,F,F,F,F,F,F,F,F,,
,,,,,To,F,F,F,F,R,F,F,F,F,F,F,F,F,,
,,,,,9o,F,F,F,F,F,R,F,F,F,F,F,F,F,,
,,,,,8o,F,F,F,F,F,F,F,F,F,F,F,F,F,,
,,,,,7o,F,F,F,F,F,F,F,F,F,F,F,F,F,,
,,,,,6o,F,F,F,F,F,F,F,F,F,F,F,F,F,,
,,,,,5o,F,F,F,F,F,F,F,F,F,F,F,F,F,,
,,,,,4o,F,F,F,F,F,F,F,F,F,F,F,F,F,,
,,,,,3o,F,F,F,F,F,F,F,F,F,F,F,F,F,,
,,,,,2o,F,F,F,F,F,F,F,F,F,F,F,F,F,,
Players,Stacks,Scenario,Hero,Villain,,As,Ks,Qs,Js,Ts,9s,8s,7s,6s,5s,4s,3s,2s,,
6,100,vs Raise,SB,BTN,Ao,R,R,R,R,R,R,R,R,R,R,R,R,F,,
,,,,,Ko,R,R,R,R,R,F,F,F,F,F,F,F,F,,
,,,,,Qo,R,R,R,R,R,F,F,F,F,F,F,F,F,,
,,,,,Jo,R,R,F,R,R,F,F,F,F,F,F,F,F,,
,,,,,To,R,F,F,F,R,R,F,F,F,F,F,F,F,,
,,,,,9o,F,F,F,F,F,R,F,F,F,F,F,F,F,,
,,,,,8o,F,F,F,F,F,F,R,F,F,F,F,F,F,,
,,,,,7o,F,F,F,F,F,F,F,R,F,F,F,F,F,,
,,,,,6o,F,F,F,F,F,F,F,F,F,F,F,F,F,,
,,,,,5o,F,F,F,F,F,F,F,F,F,F,F,F,F,,
,,,,,4o,F,F,F,F,F,F,F,F,F,F,F,F,F,,
,,,,,3o,F,F,F,F,F,F,F,F,F,F,F,F,F,,
,,,,,2o,F,F,F,F,F,F,F,F,F,F,F,F,F,,
Players,Stacks,Scenario,Hero,Villain,,As,Ks,Qs,Js,Ts,9s,8s,7s,6s,5s,4s,3s,2s,,
6,100,vs Raise,BB,LJ,Ao,R,R,R,R,R,C,C,C,C,R,R,C,C,,
,,,,,Ko,R,R,R,R,C,C,C,C,C,C,C,C,F,,
,,,,,Qo,C,R,R,C,C,C,C,C,F,F,F,F,F,,
,,,,,Jo,C,F,F,C,C,C,C,F,F,F,F,F,F,,
,,,,,To,C,F,F,F,C,C,C,C,F,F,F,F,F,,
,,,,,9o,F,F,F,F,F,C,C,C,C,F,F,F,F,,
,,,,,8o,F,F,F,F,F,F,C,C,C,F,F,F,F,,
,,,,,7o,F,F,F,F,F,F,F,C,C,C,F,F,F,,
,,,,,6o,F,F,F,F,F,F,F,F,C,C,C,F,F,,
,,,,,5o,F,F,F,F,F,F,F,F,F,C,C,C,F,,
,,,,,4o,F,F,F,F,F,F,F,F,F,F,C,C,F,,
,,,,,3o,F,F,F,F,F,F,F,F,F,F,F,C,F,,
,,,,,2o,F,F,F,F,F,F,F,F,F,F,F,F,C,,
Players,Stacks,Scenario,Hero,Villain,,As,Ks,Qs,Js,Ts,9s,8s,7s,6s,5s,4s,3s,2s,,
6,100,vs Raise,BB,HJ,Ao,R,R,R,C,C,C,C,C,R,R,R,R,R,,
,,,,,Ko,R,R,C,C,C,C,C,C,R,R,R,R,R,,
,,,,,Qo,C,R,R,C,C,C,C,C,F,F,F,F,F,,
,,,,,Jo,C,C,C,R,C,C,C,F,F,F,F,F,F,,
,,,,,To,C,F,F,F,C,C,C,C,F,F,F,F,F,,
,,,,,9o,F,F,F,F,F,C,C,C,C,F,F,F,F,,
,,,,,8o,F,F,F,F,F,F,C,C,C,C,F,F,F,,
,,,,,7o,F,F,F,F,F,F,F,C,C,C,F,F,F,,
,,,,,6o,F,F,F,F,F,F,F,F,C,C,C,F,F,,
,,,,,5o,F,F,F,F,F,F,F,F,F,C,C,C,F,,
,,,,,4o,F,F,F,F,F,F,F,F,F,F,C,C,F,,
,,,,,3o,F,F,F,F,F,F,F,F,F,F,F,C,F,,
,,,,,2o,F,F,F,F,F,F,F,F,F,F,F,F,C,,
Players,Stacks,Scenario,Hero,Villain,,As,Ks,Qs,Js,Ts,9s,8s,7s,6s,5s,4s,3s,2s,,
6,100,vs Raise,BB,CO,Ao,R,R,R,C,C,C,C,C,R,R,R,R,R,,
,,,,,Ko,R,R,C,C,C,C,C,C,R,R,R,R,R,,
,,,,,Qo,R,R,R,C,C,C,C,C,C,C,F,F,F,,
,,,,,Jo,R,C,C,R,C,C,C,C,C,F,F,F,F,,
,,,,,To,C,C,C,C,C,C,C,C,F,F,F,F,F,,
,,,,,9o,C,F,F,F,F,C,C,C,C,F,F,F,F,,
,,,,,8o,F,F,F,F,F,F,C,C,C,F,F,F,F,,
,,,,,7o,F,F,F,F,F,F,F,C,C,C,F,F,F,,
,,,,,6o,F,F,F,F,F,F,F,F,C,C,C,F,F,,
,,,,,5o,F,F,F,F,F,F,F,F,F,C,C,C,F,,
,,,,,4o,F,F,F,F,F,F,F,F,F,F,C,C,F,,
,,,,,3o,F,F,F,F,F,F,F,F,F,F,F,C,F,,
,,,,,2o,F,F,F,F,F,F,F,F,F,F,F,F,C,,
Players,Stacks,Scenario,Hero,Villain,,As,Ks,Qs,Js,Ts,9s,8s,7s,6s,5s,4s,3s,2s,,
6,100,vs Raise,BB,BTN,Ao,R,R,R,R,R,C,C,C,C,R,R,C,C,,
,,,,,Ko,R,R,R,R,R,R,C,C,C,C,C,C,C,,
,,,,,Qo,R,R,R,R,R,R,C,C,C,C,C,C,C,,
,,,,,Jo,R,R,C,R,R,R,R,C,C,C,C,F,F,,
,,,,,To,R,C,C,C,R,R,R,C,C,F,F,F,F,,
,,,,,9o,C,C,F,C,C,R,R,C,C,F,F,F,F,,
,,,,,8o,C,F,F,F,F,F,C,C,C,C,F,F,F,,
,,,,,7o,C,F,F,F,F,F,F,C,C,C,C,F,F,,
,,,,,6o,C,F,F,F,F,F,F,F,C,C,C,F,F,,
,,,,,5o,C,F,F,F,F,F,F,F,F,C,C,C,F,,
,,,,,4o,F,F,F,F,F,F,F,F,F,F,C,C,F,,
,,,,,3o,F,F,F,F,F,F,F,F,F,F,F,C,F,,
,,,,,2o,F,F,F,F,F,F,F,F,F,F,F,F,C,,
Players,Stacks,Scenario,Hero,Villain,,As,Ks,Qs,Js,Ts,9s,8s,7s,6s,5s,4s,3s,2s,,
6,100,vs Raise,BB,SB,Ao,R,R,R,R,R,C,C,C,C,R,R,C,C,,
,,,,,Ko,R,R,R,R,R,C,C,C,C,C,C,C,C,,
,,,,,Qo,R,C,R,R,C,C,C,C,C,C,C,C,C,,
,,,,,Jo,C,C,C,R,C,C,C,C,C,C,C,C,C,,
,,,,,To,C,C,C,C,R,C,C,C,C,R,R,R,R,,
,,,,,9o,C,C,C,C,C,C,C,C,C,C,F,F,F,,
,,,,,8o,C,C,R,F,C,F,C,C,C,C,C,F,F,,
,,,,,7o,R,R,F,F,F,F,F,C,C,C,C,F,F,,
,,,,,6o,R,R,F,F,F,F,F,F,C,C,C,C,F,,
,,,,,5o,R,R,F,F,F,F,F,F,F,C,C,C,C,,
,,,,,4o,R,F,F,F,F,F,F,F,F,F,C,C,C,,
,,,,,3o,R,F,F,F,F,F,F,F,F,F,F,C,C,,
,,,,,2o,R,F,F,F,F,F,F,F,F,F,F,F,C,,
Players,Stacks,Scenario,Hero,Villain,,As,Ks,Qs,Js,Ts,9s,8s,7s,6s,5s,4s,3s,2s,,VS 3BET
